,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_calculate…(100),Exit_calculate…(100),Entry_calculate…(400),Exit_calculate…(400),Entry_calculate…(14),Exit_calculate…(14),Entry_λ,Exit_λ,Entry_calculate…(20),Exit_calculate…(20)
59,-2,4284,4289,21023.25,20606.4,,,750.4406999999972,83.2593,0.017847875566337212,2022-06-28 11:00:00,2022-06-28 16:00:00,0 days 05:00:00,,21028.574248779903,21009.870230699613,22301.27819170288,22265.071001349555,165.60285714285732,185.0985714285715,50.450515479814385,-6.054852198040024,2316.9476939999995,2543.8844885
60,-2,4318,4328,20224.04,19420.33,,,1528.1312599999983,79.28874000000002,0.03778006916521128,2022-06-29 21:00:00,2022-06-30 07:00:00,0 days 10:00:00,,20646.483750884207,20517.374174350945,21985.63233397483,21886.031100171043,194.4350000000008,186.5200000000007,48.20406850762454,-53.35792291532863,3239.993014,3078.4671845000003
61,-2,4399,4413,19043.59,19492.15,,,-974.1914800000027,77.07148000000001,-0.025577936723065436,2022-07-03 06:00:00,2022-07-03 20:00:00,0 days 14:00:00,,19582.598977103396,19478.897287000917,21111.370481716745,20978.845246473502,166.60928571428536,149.66142857142898,-12.725050152646311,47.7308056177154,2045.8822259999997,2210.2193505
62,-2,4415,4427,19300.92,19367.06,,,-209.6159600000061,77.33596,-0.005430206435755487,2022-07-03 22:00:00,2022-07-04 10:00:00,0 days 12:00:00,,19471.900053906087,19415.255064700774,20962.144938301553,20859.802973994505,153.9050000000004,128.96642857142848,35.10321585970122,21.620506477192723,2308.0852975,2148.5418584999998
63,4,4528,4552,21769.09,21596.03,,,-865.7004800000052,173.46048000000002,-0.0099418542529799,2022-07-08 15:00:00,2022-07-09 15:00:00,1 days 00:00:00,,20678.08276831921,21039.87089387004,20755.31774776569,20854.590670106816,308.8342857142855,163.4578571428574,-49.07920291903292,-18.30107511701404,13668.0377415,7798.566923
64,4,4563,4575,21413.1,21078.97,,,-1506.4882799999896,169.96828,-0.017588395421494145,2022-07-10 02:00:00,2022-07-10 14:00:00,0 days 12:00:00,,21149.610328356615,21170.542429976726,20894.61322878841,20915.440341429887,190.02571428571432,171.28857142857174,-40.905779886135086,-38.84951115455095,7496.4180424999995,7612.645868499999
65,-2,4651,4673,19882.94,20390.0,,,-1094.6658800000025,80.54588,-0.027527767020370294,2022-07-13 18:00:00,2022-07-14 16:00:00,0 days 22:00:00,,20166.853404332607,20103.845177234685,20632.183753461217,20565.237707753582,340.2535714285714,239.9185714285712,46.68824406525655,17.801397740032783,9136.1607065,7658.321217
66,4,4708,4722,20702.6,21464.13,,,2877.45308000001,168.66692,0.03474748437394352,2022-07-16 03:00:00,2022-07-16 17:00:00,0 days 14:00:00,,20437.81564285045,20525.3783907951,20595.47176804507,20608.1972737148,189.8721428571428,177.66142857142844,-50.571160505648905,66.10053658897324,5685.072902,4956.8400395
67,4,4746,4753,21148.36,20799.58,,,-1562.9117599999954,167.79176,-0.018475566899750048,2022-07-17 17:00:00,2022-07-18 00:00:00,0 days 07:00:00,,20810.101621369336,20826.723612158406,20683.492574929838,20692.286263492213,227.63142857142807,211.09285714285684,-63.76333356529696,-55.37012288606744,5155.9089145,5077.5599845
68,3,4822,4825,23262.32,23223.3,,,-256.5168600000013,139.45686,-0.0036757133424353584,2022-07-20 21:00:00,2022-07-21 00:00:00,0 days 03:00:00,,22422.64759576391,22471.429869952688,21291.531686442282,21320.847174732768,408.4021428571429,411.0785714285718,-80.03468590984178,-107.88092938888997,10218.1782645,10143.973949000001
